Date,JPM,GS,BAC
2021-03-26,138.52359008789062,294.8813171386719,34.82149124145508
2021-03-29,136.37103271484375,293.38616943359375,34.4884033203125
2021-03-30,137.97879028320312,299.0426330566406,35.1005744934082
2021-03-31,135.9690704345703,294.53009033203125,34.83049392700195
2021-04-01,137.29103088378906,295.10650634765625,35.55069351196289
2021-04-05,138.0187225341797,291.4136962890625,35.82976531982422
2021-04-06,137.04843139648438,294.58416748046875,35.73073196411133
2021-04-07,139.19569396972656,294.1247253417969,36.054832458496094
2021-04-08,139.36642456054688,298.2590026855469,35.739742279052734
2021-04-09,140.4086151123047,297.9617614746094,36.000816345214844
2021-04-12,140.1121063232422,298.8895263671875,36.06382369995117
2021-04-13,138.4409942626953,295.1425476074219,35.397647857666016
2021-04-14,135.85350036621094,302.0509948730469,35.901790618896484
2021-04-15,136.71600341796875,304.9332275390625,34.8754997253418
2021-04-16,137.73126220703125,308.31988525390625,35.244606018066406
2021-04-19,137.14727783203125,309.02239990234375,35.262611389160156
2021-04-20,134.11050415039062,298.925537109375,34.28134536743164
2021-04-21,135.25152587890625,301.97894287109375,34.857505798339844
2021-04-22,132.40350341796875,297.997802734375,34.53341293334961
2021-04-23,134.93707275390625,305.65386962890625,35.271610260009766
2021-04-26,135.26951599121094,309.40966796875,35.47866439819336
2021-04-27,135.88943481445312,312.2109069824219,35.901790618896484
2021-04-28,136.7698974609375,313.5439147949219,36.03681945800781
2021-04-29,139.42929077148438,317.9214172363281,37.009090423583984
2021-04-30,138.18943786621094,313.8501281738281,36.486942291259766
2021-05-03,137.78515625,315.3904113769531,36.513954162597656
2021-05-04,139.6898651123047,315.10223388671875,36.910057067871094
2021-05-05,141.522705078125,322.10968017578125,37.26115417480469
2021-05-06,144.37074279785156,329.6305236816406,37.81930160522461
2021-05-07,144.86488342285156,334.06195068359375,37.97235107421875
2021-05-10,144.84690856933594,332.0714416503906,37.855316162109375
2021-05-11,142.4390869140625,324.1813049316406,37.42320251464844
2021-05-12,141.4597625732422,319.2093811035156,37.072105407714844
2021-05-13,145.09848022460938,323.1814880371094,37.66626739501953
2021-05-14,147.3535614013672,332.1524658203125,38.1343879699707
2021-05-17,147.946533203125,332.5848083496094,38.47649002075195
2021-05-18,145.86215209960938,328.36053466796875,37.954341888427734
2021-05-19,144.74807739257812,322.7942199707031,37.78329849243164
2021-05-20,144.49656677246094,324.0552062988281,37.693275451660156
2021-05-21,146.1407012939453,329.8916931152344,38.170406341552734
2021-05-24,146.93130493164062,331.72021484375,38.37745666503906
2021-05-25,145.4129638671875,328.3155517578125,37.81930160522461
2021-05-26,145.3949432373047,330.91845703125,37.8463134765625
2021-05-27,147.6590118408203,334.4942932128906,38.30543899536133
2021-05-28,147.56021118164062,336.21142578125,38.16139602661133
2021-06-01,149.1864013671875,345.6285095214844,38.63853073120117
2021-06-02,149.1953887939453,346.5322570800781,38.656532287597656
2021-06-03,149.29421997070312,351.30401611328125,39.09950637817383
2021-06-04,149.53675842285156,353.7712097167969,39.11759567260742
2021-06-07,148.8360137939453,350.79791259765625,38.98198699951172
2021-06-08,148.24302673339844,347.6709289550781,38.765018463134766
2021-06-09,146.39222717285156,345.93572998046875,38.258766174316406
2021-06-10,144.11021423339844,337.9466247558594,37.68921661376953
2021-06-11,144.01133728027344,341.6610412597656,37.8429069519043
2021-06-14,141.56761169433594,337.0248107910156,37.3908805847168
2021-06-15,139.42031860351562,335.56072998046875,37.41801071166992
2021-06-16,140.399658203125,335.28961181640625,37.62594223022461
2021-06-17,136.34765625,326.7040710449219,35.980594635009766
2021-06-18,132.8976287841797,315.2535705566406,35.0584716796875
2021-06-21,135.15269470214844,323.1252746582031,35.935386657714844
2021-06-22,134.95506286621094,323.1161804199219,36.13428497314453
2021-06-23,135.7726287841797,326.2973937988281,36.34221649169922
2021-06-24,137.021484375,333.2561950683594,36.9117546081543
2021-06-25,138.40504455566406,333.2742919921875,37.62594223022461
2021-06-28,138.6566619873047,333.2200622558594,37.571693420410156
2021-06-29,138.48590087890625,336.7536926269531,36.96598434448242
2021-06-30,139.7437744140625,342.99853515625,37.27336120605469
2021-07-01,141.12738037109375,338.89556884765625,37.55361557006836
2021-07-02,140.99183654785156,338.1454772949219,37.20104217529297
2021-07-06,138.62432861328125,334.2593078613281,36.22467803955078
2021-07-07,138.7869873046875,332.2801513671875,35.935386657714844
2021-07-08,136.3924102783203,324.3904724121094,35.0584716796875
2021-07-09,140.7568817138672,335.97650146484375,36.19755935668945
2021-07-12,142.77194213867188,343.8752136230469,36.73094940185547
2021-07-13,140.64845275878906,339.7903137207031,36.03483200073242
2021-07-14,140.16952514648438,338.36236572265625,35.130802154541016
2021-07-15,140.47674560546875,337.4134216308594,35.103675842285156
2021-07-16,137.2689208984375,329.6864318847656,34.281002044677734
2021-07-19,132.80502319335938,320.5766296386719,33.38600540161133
2021-07-20,135.2809295654297,329.6502990722656,34.073081970214844
2021-07-21,138.1273651123047,337.54901123046875,34.7691764831543
2021-07-22,136.3833465576172,336.8350524902344,34.31716537475586
2021-07-23,136.12130737304688,338.0459899902344,34.082115173339844
2021-07-26,137.03395080566406,339.71795654296875,34.470855712890625
2021-07-27,136.85325622558594,338.7599792480469,34.33524703979492
2021-07-28,137.07911682128906,338.20867919921875,34.470855712890625
2021-07-29,138.2538604736328,341.20916748046875,34.96807098388672
2021-07-30,137.1514434814453,338.7961730957031,34.67878723144531
2021-08-02,136.60023498535156,341.7875671386719,34.31716537475586
2021-08-03,138.1544647216797,343.7486572265625,34.85055160522461
2021-08-04,136.6634979248047,341.4892883300781,34.597415924072266
2021-08-05,138.38938903808594,347.30938720703125,35.275447845458984
2021-08-06,142.32012939453125,359.59136962890625,36.2970085144043
2021-08-09,142.16653442382812,361.3897399902344,36.7671012878418
2021-08-10,143.91050720214844,368.7010498046875,37.45417022705078
2021-08-11,145.62738037109375,374.0513000488281,37.92426681518555
2021-08-12,146.1966552734375,375.054443359375,38.10506820678711
2021-08-13,144.56109619140625,371.2406311035156,37.634979248046875
2021-08-16,143.61231994628906,369.0445556640625,37.32760238647461
2021-08-17,141.8773651123047,365.9898376464844,37.14678955078125
2021-08-18,140.585205078125,360.4136962890625,36.875587463378906
2021-08-19,139.41050720214844,355.68719482421875,36.333160400390625
2021-08-20,139.80809020996094,357.76580810546875,36.49588394165039
2021-08-23,141.5972442626953,362.80865478515625,36.98406219482422
2021-08-24,142.47372436523438,369.234375,37.49937057495117
2021-08-25,145.4105224609375,373.3553771972656,38.10506820678711
2021-08-26,146.1605224609375,372.7137451171875,38.005638122558594
2021-08-27,147.335205078125,379.29296875,38.412452697753906
2021-08-30,144.97677612304688,373.7892150878906,37.66210174560547
2021-08-31,144.53399658203125,375.5238037109375,37.74346160888672
2021-09-01,144.32614135742188,375.65997314453125,37.2371940612793
2021-09-02,144.99484252929688,376.42279052734375,37.27354431152344
2021-09-03,144.1183319091797,373.52587890625,37.30080795288086
2021-09-07,143.8653106689453,372.62677001953125,37.5461540222168
2021-09-08,143.2237548828125,367.79547119140625,37.05546951293945
2021-09-09,143.8472442626953,367.4140319824219,37.19176483154297
2021-09-10,142.19363403320312,366.4151306152344,36.592041015625
2021-09-13,144.4526824951172,371.6641540527344,37.20085144042969
2021-09-14,141.9315948486328,366.6058044433594,36.20131301879883
2021-09-15,142.91653442382812,365.0256652832031,36.473915100097656
2021-09-16,142.853271484375,360.23974609375,36.75560760498047
2021-09-17,142.4827880859375,355.49932861328125,36.801048278808594
2021-09-20,138.2176971435547,343.393798828125,35.537994384765625
2021-09-21,138.2357635498047,341.3142395019531,35.55616760253906
2021-09-22,140.88339233398438,350.0596008300781,36.473915100097656
2021-09-23,145.6454620361328,355.862548828125,37.882347106933594
2021-09-24,147.326171875,354.94537353515625,38.291259765625
2021-09-27,150.8864288330078,363.0822448730469,39.30896759033203
2021-09-28,150.07321166992188,353.7193603515625,39.21809768676758
2021-09-29,149.9557342529297,349.5328369140625,39.13631820678711
2021-09-30,147.91354370117188,343.3030700683594,38.57294464111328
2021-10-01,151.02200317382812,345.092041015625,39.14540100097656
2021-10-04,150.8593292236328,339.7795104980469,39.38166046142578
2021-10-05,153.3229217529297,350.3683166503906,40.1812858581543
2021-10-06,153.65017700195312,352.4025573730469,40.199466705322266
2021-10-07,154.6228790283203,354.7364807128906,40.090415954589844
2021-10-08,154.74105834960938,356.7252502441406,40.29032897949219
2021-10-11,151.48663330078125,349.8506774902344,39.78147506713867
2021-10-12,150.32296752929688,351.02215576171875,39.563392639160156
2021-10-13,146.35946655273438,350.8223571777344,39.199928283691406
2021-10-14,148.60484313964844,355.2631530761719,40.95365905761719
2021-10-15,151.4593048095703,368.7671813964844,42.13492202758789
2021-10-18,151.40478515625,375.68719482421875,42.053138732910156
2021-10-19,153.24110412597656,374.2978210449219,42.23487091064453
2021-10-20,155.30465698242188,370.4200439453125,42.789161682128906
2021-10-21,154.0865020751953,370.1475524902344,42.55290603637695
2021-10-22,156.1591796875,376.25933837890625,43.22532272338867
2021-10-25,155.39559936523438,376.6497802734375,43.17079544067383
2021-10-26,155.81373596191406,379.2470397949219,43.579708099365234
2021-10-27,152.56837463378906,373.2351989746094,42.74372482299805
2021-10-28,154.8683319091797,376.7134094238281,43.4161376953125
2021-10-29,154.4410400390625,375.37841796875,43.4161376953125
2021-11-01,154.3592529296875,378.42071533203125,43.47974395751953
2021-11-02,154.9683074951172,384.9138488769531,43.50700759887695
2021-11-03,155.02284240722656,379.510498046875,43.95225524902344
2021-11-04,152.98654174804688,370.58349609375,43.00724411010742
2021-11-05,152.76837158203125,369.68438720703125,42.68012237548828
2021-11-08,153.68653869628906,370.8287048339844,43.016326904296875
2021-11-09,152.52291870117188,368.1133117675781,42.59834289550781
2021-11-10,152.37747192382812,362.45562744140625,42.9163818359375
2021-11-11,152.368408203125,365.37982177734375,43.152626037597656
2021-11-12,151.68661499023438,367.7137756347656,42.62560272216797
2021-11-15,151.4138946533203,367.6229248046875,42.752811431884766
2021-11-16,150.32296752929688,366.06097412109375,42.78008270263672
2021-11-17,149.513916015625,355.5809631347656,42.26212692260742
2021-11-18,148.22305297851562,355.4176330566406,42.08948516845703
2021-11-19,146.2867431640625,351.80316162109375,41.253517150878906
2021-11-22,149.4048309326172,359.767578125,42.053138732910156
2021-11-23,152.9774932861328,369.0124206542969,43.161712646484375
2021-11-24,151.7775115966797,362.51922607421875,43.27984619140625
2021-11-26,147.2048797607422,353.6194763183594,41.58063507080078
2021-11-29,146.56854248046875,351.0312805175781,41.42616271972656
2021-11-30,144.3867950439453,345.9910888671875,40.4084587097168
2021-12-01,143.53228759765625,343.69970703125,39.835994720458984
2021-12-02,146.5503692626953,353.796630859375,40.986419677734375
2021-12-03,143.89588928222656,349.40545654296875,40.05512619018555
2021-12-06,145.5958709716797,355.4033508300781,40.31077194213867
2021-12-07,147.78672790527344,365.272216796875,40.82207489013672
2021-12-08,146.09585571289062,362.72509765625,40.31990051269531
2021-12-09,145.86856079101562,361.9674072265625,40.62120819091797
2021-12-10,145.28680419921875,357.0101623535156,40.648590087890625
2021-12-13,143.5595245361328,351.149169921875,39.790340423583984
2021-12-14,144.65953063964844,354.9652404785156,40.29251480102539
2021-12-15,143.5777130126953,355.9603271484375,40.11902618408203
2021-12-16,145.82313537597656,362.77081298828125,41.08686065673828
2021-12-17,142.50503540039062,348.556396484375,40.06425476074219
2021-12-20,139.94146728515625,339.253662109375,39.4068603515625
2021-12-21,141.8959503173828,347.205322265625,40.347293853759766
2021-12-22,142.45050048828125,349.04034423828125,40.42947006225586
2021-12-23,142.95956420898438,351.5143737792969,40.55729293823242
2021-12-27,143.77772521972656,354.253173828125,40.75815963745117
2021-12-28,144.2140350341797,353.860595703125,40.81294250488281
2021-12-29,144.14134216308594,352.5733642578125,40.74903869628906
2021-12-30,144.068603515625,351.95257568359375,40.6577262878418
2021-12-31,143.95046997070312,349.2411804199219,40.62120819091797
2022-01-03,146.9958038330078,360.9083557128906,42.164249420166016
2022-01-04,152.56837463378906,372.00048828125,43.81685256958008
2022-01-05,149.7790985107422,363.92108154296875,43.07728576660156
2022-01-06,151.37039184570312,362.36907958984375,43.944679260253906
2022-01-07,152.87017822265625,362.8985595703125,44.903377532958984
2022-01-10,153.01651000976562,364.4140625,44.67511749267578
2022-01-11,153.17198181152344,367.9561767578125,44.93075942993164
2022-01-12,154.04075622558594,356.3254699707031,44.6111946105957
2022-01-13,153.8487091064453,356.7727355957031,44.51988983154297
2022-01-14,144.39263916015625,347.7713317871094,43.743804931640625
2022-01-18,138.33856201171875,323.5422058105469,42.23728942871094
2022-01-19,136.19854736328125,317.07867431640625,42.40163803100586
2022-01-20,135.03713989257812,317.790771484375,41.77163314819336
2022-01-21,132.67770385742188,313.9655456542969,41.013816833496094
2022-01-24,132.55880737304688,313.4908752441406,40.675987243652344
2022-01-25,134.00376892089844,311.81103515625,41.47946548461914
2022-01-26,135.2749481201172,312.8426208496094,41.908592224121094
2022-01-27,132.88804626464844,311.3363037109375,41.5159912109375
2022-01-28,134.07691955566406,316.7956237792969,41.88120651245117
2022-01-31,135.89682006835938,323.7977600097656,42.127723693847656
2022-02-01,138.2288360595703,332.361083984375,42.858158111572266
2022-02-02,137.12225341796875,331.44818115234375,42.81250762939453
2022-02-03,135.98825073242188,327.6321716308594,42.39250183105469
2022-02-04,139.5182647705078,335.5928649902344,44.081642150878906
2022-02-07,139.98468017578125,336.094970703125,44.29163360595703
2022-02-08,142.6184539794922,337.8750915527344,45.08598327636719
2022-02-09,143.21292114257812,341.91943359375,44.99467468261719
2022-02-10,142.6184539794922,338.3042297363281,44.78467559814453
2022-02-11,140.76199340820312,331.44818115234375,43.752933502197266
2022-02-14,139.45428466796875,328.8736572265625,43.29641342163086
2022-02-15,141.49363708496094,332.25152587890625,43.634246826171875
2022-02-16,141.74969482421875,328.7002868652344,43.5338020324707
2022-02-17,138.48486328125,318.6671447753906,42.063804626464844
2022-02-18,139.1341552734375,315.9100341796875,41.963375091552734
2022-02-22,138.8872528076172,314.294189453125,41.59816360473633
2022-02-23,135.97911071777344,311.482421875,40.885990142822266
2022-02-24,132.1930389404297,310.5694885253906,39.808597564697266
2022-02-25,135.32064819335938,319.63482666015625,41.10511779785156
2022-02-28,129.67811584472656,311.5736999511719,40.356422424316406
2022-03-01,124.78544616699219,301.3896179199219,38.7768669128418
2022-03-02,127.37351989746094,308.90142822265625,39.4068603515625
2022-03-03,126.4681396484375,306.1832275390625,38.984806060791016
2022-03-04,122.91069030761719,302.739501953125,37.57185363769531
2022-03-07,118.16438293457031,295.5950622558594,35.17715835571289
2022-03-08,117.3321762084961,295.11749267578125,35.40653610229492
2022-03-09,122.03276062011719,306.33929443359375,37.654422760009766
2022-03-10,120.58782958984375,302.95074462890625,37.314945220947266
2022-03-11,117.87171173095703,300.2876281738281,37.00299072265625
2022-03-14,119.04228973388672,298.43267822265625,37.80122375488281
2022-03-15,121.15483093261719,302.2712097167969,38.07647705078125
2022-03-16,126.56871795654297,312.9236145019531,39.26922607421875
2022-03-17,128.16915893554688,315.22857666015625,39.480255126953125
2022-03-18,128.1234130859375,317.1662902832031,39.360984802246094
2022-03-21,127.71186065673828,311.307373046875,39.305931091308594
2022-03-22,130.42800903320312,314.98980712890625,40.5353889465332
2022-03-23,127.83076477050781,308.1943054199219,39.53531265258789
2022-03-24,128.6630096435547,308.7636413574219,39.516963958740234
2022-03-25,129.78785705566406,309.9207458496094,40.12250900268555
2022-03-28,128.8275909423828,307.9095764160156,39.95736312866211
2022-03-29,129.11111450195312,311.9134216308594,39.8564338684082
2022-03-30,128.52578735351562,308.1759338378906,39.452735900878906
2022-03-31,124.66656494140625,303.1344299316406,37.819576263427734
2022-04-01,123.74292755126953,303.24456787109375,37.52597427368164
2022-04-04,124.29163360595703,301.3988342285156,37.461753845214844
2022-04-05,122.84518432617188,297.4959411621094,36.82867431640625
2022-04-06,121.14079284667969,290.42498779296875,36.42496871948242
2022-04-07,120.77227020263672,288.4873352050781,36.14053726196289
2022-04-08,122.9833755493164,295.1358642578125,36.397438049316406
2022-04-11,122.53196716308594,294.5574035644531,36.324039459228516
2022-04-12,121.18685150146484,293.6574401855469,35.938690185546875
2022-04-13,117.28057861328125,295.6685485839844,35.61756134033203
2022-04-14,116.19345092773438,295.3654479980469,34.47068405151367
2022-04-18,118.34928131103516,302.9323425292969,35.645084381103516
2022-04-19,120.79991912841797,308.5065002441406,36.30569076538086
2022-04-20,121.2237319946289,313.1990661621094,36.388267517089844
2022-04-21,120.28399658203125,306.9913024902344,35.700130462646484
2022-04-22,116.82914733886719,293.6481628417969,34.461509704589844
2022-04-25,116.79228210449219,295.1634521484375,34.213775634765625
2022-04-26,113.33744049072266,287.5414733886719,33.44307327270508
2022-04-27,111.8633804321289,287.64251708984375,33.25956726074219
2022-04-28,113.63225555419922,292.39935302734375,33.773380279541016
2022-04-29,109.96549987792969,280.5347900390625,32.73659133911133
2022-05-02,110.96971893310547,285.0620422363281,33.15864562988281
2022-05-03,113.3466567993164,288.9556579589844,34.06697463989258
2022-05-04,117.09632110595703,297.63372802734375,35.43406295776367
2022-05-05,114.16661071777344,287.4956359863281,34.44316101074219
2022-05-06,113.98233795166016,287.39453125,34.36058044433594
2022-05-09,112.26874542236328,283.6570739746094,33.36967086791992
2022-05-10,109.53250885009766,280.139892578125,32.80999755859375
2022-05-11,108.8415298461914,276.9166259765625,32.63566970825195
2022-05-12,108.74940490722656,274.9514465332031,32.176918029785156
2022-05-13,109.71676635742188,281.9122314453125,32.26866912841797
2022-05-16,108.95208740234375,278.6522216796875,31.938365936279297
2022-05-17,112.56354522705078,287.4037780761719,33.021026611328125
2022-05-18,110.63804626464844,281.6734924316406,32.002593994140625
2022-05-19,108.99815368652344,283.02337646484375,31.608060836791992
2022-05-20,108.10449981689453,281.7377624511719,31.06673812866211
2022-05-23,114.79308319091797,290.7463684082031,32.91092300415039
2022-05-24,116.41455078125,288.3036804199219,32.709075927734375
2022-05-25,117.22530364990234,289.176025390625,32.88339614868164
2022-05-26,119.25214385986328,297.1929016113281,33.644920349121094
